Продавец;Район;Адрес;Площадь, м2;Этаж;Всего этажей;Цена, ₽;Цена за квадрат, ₽/м²
Квартсервис;Кировский;улица Степанца 6В;62;3;9;6500000;104000
Квартсервис;Советский;улица Андрианова 14/2;73;1;4;6500000;87957
МИАРД ВЛАДИС;Кировский;улица Степанца 6В;63;2;9;6500000;103175
Юлита;Центральный;улица 24-я Северная 218к1;76;2;10;6500000;85526
ID 103270542;Ленинский;улица Серова 22;57;3;9;6500000;114035
ID 70293378;Кировский;улица Дмитриева 1/3;64;8;9;6500000;101563
ID 73481332;Центральный;проспект Карла Маркса 22а;60;5;5;6500000;108333
ID 58495790;Кировский;проезд Лесной 10;66;8;9;6500000;98485
ID 73047701;Центральный;пос. Биофабрика 15к1;63;2;10;6500000;103175
ID 70293297;Кировский;улица Крупской 27к1;63;4;9;6500000;103175
ID 70291760;Кировский;улица Конева 12/1;67;9;12;6500000;95870
ID 106810628;Советский;улица Малиновского 12к1;64;9;10;6500000;101563
ID 88545730;Ленинский;улица Серова 22;57;3;9;6500000;114035
ID 88582171;Кировский;улица Степанца 6В;62;2;10;6500000;104000
ID 93985593;Кировский;улица Степанца 6В;62;2;10;6500000;104000
ID 70293555;Центральный;Волочаевская улица 17;55;5;9;6500000;116906
ID 95211437;Кировский;улица Степанца 6В;62;2;10;6500000;104000
АВЕСТА-РИЭЛТ;Кировский;бульвар Архитекторов 3/8;63;9;9;6551000;103984
ID 107187174;Советский;улица Лаптева 3;60;7;10;6560000;107718
ID 106891326;Кировский;улица Конева 30;69;6;13;6580000;94269
ID 70292062;Кировский;улица Лукашевича 25;68;4;12;6570000;96334
ID 70291780;Советский;улица Химиков 16;64;7;10;6560000;102500
ID 68352996;Кировский;Транссибирская улица 1;60;5;8;6570000;108775
ID 106303225;Октябрьский;улица 3-я Железнодорожная 11;68;4;9;6550000;96324
ID 70293442;Центральный;улица Алтайская 44;63;2;5;6550000;103639
ID 70293342;Кировский;улица Нефтебаза 3;73;2;5;6550000;89726
ID 49160988;Октябрьский;улица Масленникова 177;70;2;4;6600000;94286
Татаревич Ирина;Кировский;Волгоградская улица 1к1;71;1;9;6600000;92437
РИЭЛТКОНСАЛТ;Центральный;проспект Карла Маркса 10б;54;2;5;6600000;120658
ID 85023064;Ленинский;улица Серова 22;57;3;9;6603000;115842
ID 42094273;Кировский;Транссибирская улица 1;62;8;8;6600000;106452
ID 70292261;Центральный;улица 28-я Северная 24;82;1;10;6600000;80488
ID 70292330;Ленинский;улица Котельникова 12;63;7;10;6600000;104762
АВЕСТА-РИЭЛТ;Центральный;Омская улица 77к3;63;3;10;6710000;105008
Квартсервис;Кировский;Волгоградская улица 24;65;5;9;6700000;103077
Атриум;Советский;улица 2-я Поселковая 12к1;60;4;5;6690000;110945
Самолет Плюс Омск-Центр;Кировский;улица Дмитриева 15/2;58;9;9;6700000;114334
МИАРД ВЛАДИС;Центральный;улица 19-я Амурская 56/3;73;2;4;6695000;90841
Доверие;Кировский;улица 70 лет Октября 8;63;7;9;6650000;105556
Квартсервис;Советский;Заозерная улица 21;64;10;10;6650000;102465
Квартсервис;Октябрьский;улица 15-я Рабочая 90;69;1;12;6700000;96126
Самолет Плюс Омск-Центр;Центральный;улица Чернышевского 80;63;5;9;6700000;105346
Самолет Плюс Омск-Центр;Кировский;улица Дмитриева 1/1;69;3;10;6700000;96542
МИАРД ВЛАДИС;Центральный;улица Нахимова 9;75;3;10;6670000;88933
ID 70292327;Центральный;улица Куйбышева 27/5;63;4;9;6650000;105222
ID 73724306;Советский;улица Красный Путь 72;74;4;4;6740000;91081
ID 73048902;Кировский;улица 70 лет Октября 8;66;7;9;6700000;100299
ID 70292124;Центральный;улица Завертяева 18/5;70;1;10;6699980;95714
ID 76349246;Кировский;улица Дмитриева 9;64;4;9;6700000;104688
ID 70291885;Советский;улица Химиков 34;70;5;9;6660000;94068
ID 58629813;Центральный;улица 19-я Амурская 56/3;73;2;4;6700000;90909
«АКАДЕМИЯ ЖИЛЬЯ-55»;Октябрьский;проспект Космический 16Ак1;66;10;10;6700000;101515
АВЕСТА-РИЭЛТ;Центральный;улица 28-я Северная 20;80;10;10;6790000;84348
РИЭЛТКОНСАЛТ;Кировский;улица Лукашевича 11А;76;4;5;6770000;88613
ID 73048680;Центральный;улица Гусарова 60Б;82;2;2;6799000;82612
ID 70292030;Центральный;улица Масленникова 60;62;9;9;6750000;108871
ID 70291775;Центральный;улица Завертяева 18к1;74;10;10;6790000;91757
ID 70293515;Центральный;улица Лермонтова 134а;61;4;9;6790000;111311
ID 101746755;Кировский;улица Перелета 12к1;58;7;10;6750000;116179
Квартсервис;Октябрьский;улица 4-я Транспортная 15;72;10;17;6765408;93964
Квартсервис;Кировский;проспект Комарова 31;63;6;9;6850000;108730
ID 70295495;Октябрьский;улица Кирова 4/2;68;2;5;6850000;100735
ID 80189288;Кировский;улица Ватутина 13;63;5;9;6800000;107937
ID 106075124;Центральный;улица Багратиона 21А;84;3;5;6850000;81161
ID 70291780;Октябрьский;улица Кирова 20;67;4;12;6800000;101493
ID 70292325;Центральный;пос. Биофабрика 3к1;70;5;10;6800000;97004
ID 70291853;Ленинский;улица Архиепископа Сильвестра 17;68;1;9;6800000;99270
ID 62749903;Октябрьский;улица 4-я Транспортная 42;60;9;9;6800000;113333
«АКАДЕМИЯ ЖИЛЬЯ-55»;Центральный;улица 19-я Амурская 56/3;73;2;4;6800000;92266
АВЕСТА-РИЭЛТ;Центральный;проспект Карла Маркса 10;71;3;5;6930000;96518
РИЭЛТКОНСАЛТ;Ленинский;Батумская улица 38/2;91;1;10;6900000;75824
Доверие;Ленинский;улица Молодогвардейская 6к1;73;4;10;6900000;94521
Империя;Кировский;улица 3-я Енисейская 32/1;62;10;10;6900000;110048
ID 70293454;Центральный;улица Завертяева 18к1;72;8;10;6900000;95833
ID 73048486;Центральный;Волочаевская улица 15А;55;1;5;6900000;124549
Самолет Плюс Омск-Центр;Центральный;улица Завертяева 18к1;65;7;10;6970000;107231
ID 73047578;Советский;проспект Королева 24к2;70;1;11;6989990;99857
Азбука Недвижимости;Кировский;улица Лукашевича 14/1;75;11;16;6960000;92308
ВАРИАНТ;Советский;проспект Мира 57к1;65;4;9;6997000;107646
ID 70293476;Советский;улица Химиков 32/1;63;2;10;6950000;110143
ID 87378461;Центральный;Иркутская улица 70;65;8;9;6950000;106923
ID 70295206;Кировский;улица Рокоссовского 18/3;75;8;16;6970000;92933
Самолет Плюс Омск-Центр;Кировский;улица 3-я Енисейская 32;88;1;10;7042024;80023
ID 70292039;Центральный;Омская улица 111;70;2;5;7000000;100000
ID 70291891;Центральный;улица 20 лет РККА 13к2;73;5;5;7070000;96190
ID 70292111;Центральный;улица Пушкина 32/1;65;5;6;7000000;107692
ID 70291936;Кировский;улица Дианова 20к1;77;10;10;7009000;90790
ID 70291987;Октябрьский;улица Масленникова 21;61;7;9;7050000;115574
ID 17316812;Центральный;Иркутская улица 74;65;2;9;7000000;107692
ID 70291859;Кировский;улица Авиагородок 3;81;2;4;7000000;86420
РИЭЛТКОНСАЛТ;Советский;улица Энтузиастов 33Б;61;5;9;7100000;116393
Этажи Омск;Советский;Пригородная улица 25к1;61;1;14;7110000;116557
ID 73047561;Центральный;улица Масленникова 64;61;3;9;7100000;116393
РУБЛЕВКА 55;Кировский;улица 3-я Енисейская 28;63;15;16;7099974;112698
Ледон;Центральный;проспект Карла Маркса 29;75;4;5;7150000;95333
Самолет Плюс Омск-Центр;Центральный;проезд 1-й Амурский 3к2;78;10;10;7077408;90736
Самолет Плюс Омск-Центр;Центральный;Учебная улица 155;64;1;9;7150000;110169
ID 85023064;Кировский;улица Ватутина 28/1;64;1;10;7150000;110853
ID 70291981;Центральный;улица Рабиновича 125;82;2;5;7200000;87062
ID 80405953;Центральный;улица 27-я Северная 44/2;68;5;9;7200000;105572
ID 70293557;Кировский;улица Туполева 5Г;65;5;14;7200000;110769
ID 70293343;Центральный;улица Арнольда Нейбута 96/2;75;8;10;7200000;95618
ID 70292254;Центральный;Омская улица 149;83;1;9;7190000;86211
ID 88582171;Ленинский;проспект Карла Маркса 54;61;5;9;7150000;117213
ID 83930276;Центральный;Съездовская улица 41;65;4;9;7200000;109924
АВЕСТА-РИЭЛТ;Центральный;улица Декабристов 147;62;7;9;7275000;115844
ID 70291784;Центральный;улица 8-я Линия 78;62;8;9;7299000;117159
ID 87421331;Центральный;Волочаевская улица 17Б;60;4;5;7250000;120833
ID 70292306;Центральный;пос. Биофабрика 6;79;2;10;7290000;92278
Доверие;Кировский;улица 3-я Енисейская 32;73;3;11;7300000;100000
РИЭЛТКОНСАЛТ;Центральный;проспект Карла Маркса 10;71;2;5;7300000;102817
ДОМСК;Кировский;улица Дмитриева 20;73;3;9;7300000;99591
Самолет Плюс Омск-Центр;Кировский;улица Дмитриева 5/4;63;7;10;7300000;115873
РИЭЛТКОНСАЛТ;Центральный;проезд 6-й Амурский 4;82;6;10;7299968;89024
ID 70292251;Центральный;Барнаульская улица 45;75;6;9;7300000;97333
ID 85023064;Кировский;улица Дмитриева 2/1;64;2;9;7300000;114063
ID 70293659;Центральный;улица Декабристов 130;88;4;4;7300000;82955
ID 96394203;Центральный;Омская улица 162;67;8;9;7300000;108955
АВЕСТА-РИЭЛТ;Кировский;улица Крупской 8;70;1;10;7380000;104533
Самолет Плюс Омск-Центр;Центральный;улица Красный Путь 57;64;7;12;7400000;114907
Самолет Плюс Омск-Центр;Октябрьский;Харьковская улица 27;68;7;12;7400000;108346
ID 70293289;Кировский;улица Туполева 2;62;7;10;7399000;117818
ОМСК РИЭЛТ;Кировский;бульвар Архитекторов 7/1;64;6;9;7350000;114130
ID 85023064;Центральный;улица 21-я Амурская 25к3;73;8;10;7399353;101361
ПОКРОВ;Центральный;проезд 1-й Амурский 5к1;83;5;10;7436219;89593
АВЕСТА-РИЭЛТ;Советский;улица 20-го Партсъезда 53/2;70;2;5;7500000;106232
ID 94851751;Советский;Заозерная улица 13/1;74;6;9;7500000;100536
Лин-Сервис;Центральный;улица 7-я Северная 368;91;1;2;7500000;81878
ID 21726022;Центральный;Омская улица 77к3;66;2;11;7549000;114379
Самолет Плюс Омск-Центр;Центральный;Съездовская улица 50;70;9;9;7500000;105783
ID 70293497;Центральный;улица 10 лет Октября 105;63;9;9;7500000;119048
ID 70292117;Ленинский;улица Молодогвардейская 7/2;68;1;6;7540000;110234
ID 70291859;Центральный;улица Яковлева 11;60;3;9;7500000;125000
ID 70291780;Центральный;улица Пушкина 37;80;4;4;7520000;94000
ID 73048658;Центральный;Съездовская улица 50;64;2;9;7500000;116822
ID 76395369;Кировский;улица Крупской 7/1;69;10;10;7500000;108696
ID 95717224;Центральный;улица 10 лет Октября 105;63;9;9;7500000;119048
ID 103757653;Советский;улица 20-го Партсъезда 53/2;71;2;5;7500000;105634
ID 70293460;Центральный;улица Пушкина 103;64;4;5;7500000;117188
ID 96866952;Советский;улица Тимофея Белозерова 6;70;5;5;7500000;107143
ID 100541544;Октябрьский;улица Кирова 10;63;1;9;7500000;119048
ID 49160988;Кировский;улица Крупской 7/1;65;7;10;7600000;116923
Самолет Плюс Омск-Центр;Кировский;улица Путилова 11А;64;2;5;7600000;118750
Самолет Плюс Омск-Центр;Советский;улица Тимофея Белозерова 6;70;5;5;7600000;108571
РИЭЛТКОНСАЛТ;Кировский;улица Лукашевича 14/3;75;4;17;7607000;101427
ID 70291809;Центральный;улица 10 лет Октября 107;65;10;12;7600000;116923
ПОКРОВ;Октябрьский;улица Масленникова 66;67;8;10;7600000;113433
ID 47543250;Кировский;улица Лукашевича 14/3;75;4;17;7607000;101427
Самолет Плюс Омск-Центр;Центральный;улица 21-я Амурская 25к3;73;8;10;7597986;104082
Самолет Плюс Омск-Центр;Кировский;улица Лукашевича 14/3;75;4;17;7690000;102533
ID 85023064;Центральный;улица Арнольда Нейбута 11;70;10;12;7700000;110000
ID 70293497;Центральный;улица Ленина 51;82;2;3;7650000;93293
ID 97888165;Советский;проспект Мира 66;80;4;4;7700000;96250
ID 73048658;Октябрьский;улица Кирова 51;80;8;16;7671200;95890
Квартсервис;Центральный;Омская улица 117;81;1;10;7750000;95561
ПОКРОВ;Кировский;улица 3-я Енисейская 32;92;1;9;7820000;85000
ID 73047885;Центральный;Иркутская улица 74/1;71;1;10;7750000;109001
GALLEON;Кировский;улица Крупской 14к2;63;8;14;7690158;122066
БУТЕРИН;Центральный;улица Багратиона 94;93;3;8;7800000;83871
Квартсервис;Центральный;улица Ленина 51;82;3;3;7890000;95521
Самолет Плюс Омск-Центр;Центральный;улица Герцена 270;79;8;9;7900000;99122
ID 100238876;Центральный;улица Циолковского 6/1;56;4;5;7900000;139823
ID 74956151;Центральный;улица Орджоникидзе 268к1;75;12;13;7878975;105053
ID 70293557;Центральный;Омская улица 77к3;70;5;10;7900000;112376
ID 73047600;Советский;улица 5-я Крайняя 12;61;1;4;7900000;127625
Татаревич Ирина;Центральный;улица Алтайская 18к1;85;5;11;8000000;93677
Метражи;Кировский;улица Лукашевича 2/1;74;7;18;8000000;108108
Самолет Плюс Омск-Центр;Центральный;улица Герцена 13;73;4;4;8000000;109589
ID 16651076;Октябрьский;улица Масленникова 45;65;5;10;8000000;122699
ID 70291943;Центральный;Интернациональная улица 35;70;4;5;8000000;114286
ID 96463949;Центральный;улица Богдана Хмельницкого 38/2;65;11;14;8000000;121766
ID 70291910;Ленинский;улица Молодогвардейская 1/1;95;3;5;8000000;84211
ID 104552203;Советский;проспект Мира 106А;63;1;9;8000000;126382
ID 70292087;Центральный;улица 5-й Армии 10;91;10;10;8100000;89011
ID 70292030;Кировский;улица Лукашевича 25;68;3;12;8100000;119118
ID 57146529;Кировский;улица Степанца 3;72;9;10;8100000;112500
ID 92938060;Советский;улица Строителей 19;74;2;6;8100000;108579
ID 106381087;Октябрьский;улица 3-я Железнодорожная 13;67;2;9;8050000;120149
ID 89073921;Центральный;проспект Карла Маркса 36к1;68;4;10;8090000;117758
ID 25688922;Центральный;проспект Карла Маркса 10;72;4;5;8100000;111264
Квартсервис;Советский;Пригородная улица 5;65;6;9;8200000;125960
МИАРД ВЛАДИС;Октябрьский;улица 7-я Линия 190;90;4;5;8240000;91251
Ирина Нескородева;Ленинский;улица Молодогвардейская 7/2;68;1;6;8150000;119853
ID 70293422;Кировский;улица Дианова 27;80;7;16;8200000;102500
ID 70292121;Центральный;Интернациональная улица 35;75;5;5;8200000;109333
ID 46518028;Кировский;улица 3-я Енисейская 32/3;74;3;16;8200000;110811
АВЕСТА-РИЭЛТ;Центральный;улица Багратиона 92;72;5;5;8270000;114543
ID 83930276;Октябрьский;проспект Космический 14Д;71;7;12;8250000;115223
Вояж-Недвижимость;Кировский;проспект Комарова 11/3;75;3;11;8266950;110226
РИЭЛТКОНСАЛТ;Советский;проспект Мира 60;78;2;4;8300000;106410
Этажи Омск;Советский;улица Малунцева 23А;73;2;4;8390000;114461
РУБЛЕВКА 55;Центральный;улица Яковлева 169;90;10;18;8370000;93000
ID 90997478;Центральный;улица Красный Путь 28А;64;2;5;8300000;129688
МИАРД ВЛАДИС;Кировский;проезд Лесной 4Б;76;4;5;8450000;109883
Квартсервис;Октябрьский;Братская улица 19;89;6;6;8400000;94170
ID 70941328;Октябрьский;улица 3-я Молодежная 57А;77;8;9;8400000;109091
ID 75014133;Кировский;Волгоградская улица 44;76;6;12;8400000;110526
ID 75669144;Кировский;улица Дмитриева 1/7;66;3;9;8470000;128333
ID 70292313;Советский;улица Тимофея Белозерова 12;67;4;5;8480000;126567
ID 70293670;Советский;улица 2-я Поселковая 16;84;9;10;8425000;100298
АВЕСТА-РИЭЛТ;Ленинский;улица Архиепископа Сильвестра 1;67;2;9;8449571;126113
Квартсервис;Центральный;улица Багратиона 94;97;5;8;8500000;87090
РИЭЛТКОНСАЛТ;Октябрьский;улица 1-я Военная 7к2;89;11;12;8500000;95185
ID 70295186;Ленинский;улица Рождественского 9/2;93;6;9;8500000;91202
ID 71352838;Центральный;улица Вавилова 31;70;4;5;8500000;121255
ID 92218325;Советский;Пригородная улица 21;95;7;10;8500000;89286
ID 70292101;Советский;Физкультурная улица 5;71;9;10;8500000;119215
Андрей Заблоцкий;Центральный;улица 10 лет Октября 48;75;1;4;8500000;113333
АВЕСТА-РИЭЛТ;Центральный;проспект Карла Маркса 5;83;4;9;8579000;103361
ID 70292076;Ленинский;улица Стальского 12;80;10;10;8550000;106875
ID 70291819;Кировский;улица Дмитриева 2/4;66;8;9;8600000;129518
ВАРИАНТ;Кировский;улица 3-я Енисейская 32/3;74;16;16;8597000;116176
ID 70292281;Октябрьский;проспект Космический 14Бк5;64;3;10;8610000;134531
ID 74627128;Советский;улица Красный Путь 143к5;73;1;17;8599984;117808
ID 70293472;Кировский;проезд 1-й Тюкалинский 8;76;11;16;8600008;113158
БУТЕРИН;Центральный;Омская улица 149;80;1;9;8600000;107500
ID 70292030;Центральный;улица Маяковского 21;64;3;4;8700000;135938
ID 78192695;Центральный;Спортивный проезд 6;87;3;5;8700000;99089
СТРОЙ-ИНВЕСТ;Центральный;проспект Карла Маркса 12а;73;3;5;8700000;118690
АВЕСТА-РИЭЛТ;Октябрьский;улица 8-я Линия 198;83;1;5;8785000;105843
ID 75487638;Кировский;улица Ватутина 29/1;74;15;16;8750000;118243
Этажи Омск;Центральный;Спортивный проезд 6;87;3;5;8830000;100569
Квартсервис;Кировский;улица Б.Г. Шаронова 21;72;2;14;8775648;121884
Кагира Саютинская;Центральный;проезд 1-й Амурский 1;76;5;16;8800000;115789
ID 70291987;Центральный;улица 5-я Северная 124;70;6;13;8890000;127000
ID 88545730;Советский;Физкультурная улица 5;71;9;10;8800000;123422
ID 100895041;Советский;улица Малунцева 21;73;4;4;8800000;119080
Самолет Плюс Омск-Центр;Центральный;улица Яковлева 169;99;2;14;8906040;89960
Квартсервис;Кировский;улица Перелета 34;54;9;15;8950000;165741
РИЭЛТКОНСАЛТ;Кировский;Звездная улица 12;71;4;9;8998966;126746
Кагира Саютинская;Кировский;проспект Комарова 17к1;80;1;10;8999000;112488
ID 70293539;Центральный;улица Герцена 17;86;4;4;8960000;104186
ID 70292050;Центральный;Тарская улица 261к1;83;5;10;8900000;107229
ID 70293606;Кировский;бульвар М.М. Кузьмина 3;102;4;13;8959986;87843
ID 105213843;Центральный;улица Звездова 54;82;9;10;8969980;109390
ID 73048021;Центральный;улица 10 лет Октября 115;85;9;9;8900000;104706
Вояж-Недвижимость;Кировский;улица Перелета 19;89;8;16;8909879;100111
ID 21912474;Центральный;Спортивный проезд 6;90;2;5;9000000;100000
ID 70295186;Октябрьский;улица Масленникова 41;75;10;10;9000000;120000
ID 70293637;Кировский;бульвар М.М. Кузьмина 1;80;7;14;9000000;112360
ID 70293665;Кировский;улица Ватутина 29;85;2;10;8999970;105882
РУБЛЕВКА 55;Центральный;проспект Карла Маркса 5;88;9;9;9100000;102825
КЛЮЧНИКИ;Центральный;улица 5-я Северная 124;71;2;15;9074439;127809
ID 70293528;Центральный;улица 10 лет Октября 147;84;10;11;9100000;108333
ОМСК РИЭЛТ;Кировский;бульвар Архитекторов 12;86;6;8;9150000;105536
ID 70291990;Ленинский;проспект Карла Маркса 52;92;3;5;9200000;99245
ID 70292147;Центральный;Барнаульская улица 97к2;98;4;9;9200000;93878
ID 107103724;Центральный;улица 10 лет Октября 105;66;1;10;9200000;139394
ID 70293296;Центральный;улица Маршала Жукова 156;93;5;14;9160593;98501
ID 70292030;Центральный;улица Маяковского 21;71;4;4;9200000;129577
ID 90463477;Центральный;проспект Карла Маркса 16;76;2;5;9200000;121053
Самолет Плюс Омск-Центр;Советский;Заозерная улица 19;96;6;16;9250000;95459
ID 70293378;Центральный;улица Маршала Жукова 156;93;12;15;9300000;100000
ID 70293828;Центральный;улица Звездова 127;70;14;14;9299990;132857
ID 70293836;Октябрьский;Краснопресненская улица 3;86;3;9;9290000;106904
ID 70293546;Советский;Пригородная улица 25к2;80;8;14;9300000;116250
Самолет Плюс Омск-Центр;Центральный;улица Яковлева 169;100;13;14;9356000;93560
ID 70292212;Центральный;проспект Карла Маркса 5;84;2;9;9350000;111177
Самолет Плюс Омск-Центр;Кировский;проспект Комарова 17к2;83;1;9;9500000;113501
Кагира Саютинская;Кировский;проспект Комарова 17к1;78;1;10;9500000;121328
ID 16836124;Центральный;улица Масленникова 62;98;4;10;9450000;96429
ID 70291841;Октябрьский;улица 3-я Молодежная 57А;74;9;10;9490000;128070
ID 88545730;Центральный;улица Багратиона 23/2;135;5;5;9500000;70111
ID 49359095;Центральный;улица Герцена 232/1;86;5;9;9500000;109573
Самолет Плюс Омск-Центр;Центральный;улица 5-я Северная 124;87;2;15;9578787;110101
Самолет Плюс Омск-Центр;Центральный;улица Яковлева 169;95;13;16;9555480;100584
ID 70291764;Кировский;улица Дианова 25;90;4;16;9504990;105611
ID 99384062;Советский;улица 2-я Поселковая 26;86;2;10;9600000;111628
Самолет Плюс Омск-Центр;Центральный;улица Герцена 13;87;3;4;9650000;110920
Самолет Плюс Омск-Центр;Кировский;улица Туполева 4;102;5;6;9700000;94450
ID 70292118;Кировский;улица 70 лет Октября 15/1;85;9;9;9700000;113850
Самолет Плюс Омск-Центр;Кировский;проспект Комарова 15;88;2;10;9800000;110860
Квартсервис;Ленинский;Сибирский проспект 53;61;5;10;9754022;159902
ДОМСК;Кировский;проспект Комарова 22к1;92;5;12;9800000;106176
МИАРД ВЛАДИС;Кировский;улица Лукашевича 12А;72;5;16;9800000;135172
ID 70292171;Кировский;бульвар Архитекторов 17/2;84;9;10;9765084;116251
ID 70291853;Центральный;улица Маршала Жукова 105;78;9;9;9750000;125000
ID 105664472;Кировский;бульвар Архитекторов 12;86;8;8;9800000;113953
ID 70292045;Центральный;улица Маршала Жукова 107;69;6;11;9800000;141618
Квартсервис;Кировский;улица Ватутина 33;73;3;9;9900000;134511
Вояж-Недвижимость;Октябрьский;улица Шебалдина 199;84;4;6;9859000;116125
Самолет Плюс Омск-Центр;Центральный;улица Булгакова 3;110;1;6;9900000;90000
ID 70291799;Центральный;улица Булгакова 3;110;1;8;9882070;89837
ID 73047617;Центральный;улица Ивана Алексеева 8;73;2;4;9850000;134014
АВЕСТА-РИЭЛТ;Центральный;проспект Карла Маркса 5;85;6;9;9990000;116298
МИАРД ВЛАДИС;Кировский;улица Туполева 2;78;3;10;9990000;127586
ID 71299454;Кировский;бульвар Архитекторов 8;83;8;8;9950000;119019
ID 68337288;Центральный;улица 2-я Дачная 10;97;4;10;9990000;102147
ID 70291801;Октябрьский;улица Масленникова 41;115;2;9;10000000;86957
ID 70292071;Центральный;Тарская улица 22;78;7;7;9990000;128077
ID 70292096;Центральный;проспект Карла Маркса 1;74;5;5;9990000;134274
ID 70291811;Октябрьский;улица Масленникова 41;84;7;10;10000000;119048
ID 70291991;Советский;улица Красный Путь 105;74;9;14;10000000;134048
ID 61968333;Кировский;улица Ватутина 24;92;10;12;10000000;108578
ID 49160988;Кировский;бульвар Архитекторов 17/2;84;3;11;10064040;119810
ID 70293606;Центральный;улица Масленникова 9;80;5;5;10100000;126250
ID 103270542;Центральный;проспект Карла Маркса 17;89;5;5;10200000;114350
ID 106165702;Центральный;улица Масленникова 58;67;8;17;10150031;151493
ID 92218325;Центральный;проспект Карла Маркса 17;89;5;5;10200000;114350
ID 70291983;Центральный;улица Ленина 33;64;1;5;10200000;159375
ID 84456815;Кировский;улица Крупской 6;152;10;10;10200000;67105
АВЕСТА-РИЭЛТ;Центральный;улица 27-я Северная 44/1;98;1;9;10330000;104873
ID 70291761;Центральный;проспект Карла Маркса 10;116;3;5;10300000;88793
РИЭЛТКОНСАЛТ;Советский;Заозерная улица 27;108;4;16;10450000;96048
Самолет Плюс Омск-Центр;Кировский;улица Крупской 14к4;76;7;14;10549000;137715
ID 98609467;Октябрьский;улица Орловского 3;103;5;5;10500000;101547
ОМСК РИЭЛТ;Кировский;проспект Комарова 15;88;2;14;10500000;118110
Дом Славянский;Центральный;Учебная улица 20;73;1;17;10599965;145205
МИАРД ВЛАДИС;Советский;проспект Менделеева 14/1;98;2;9;10550000;107653
ID 70291799;Центральный;улица Шукшина 2;118;1;6;10615988;89966
Самолет Плюс Омск-Центр;Ленинский;улица Марченко 11;112;2;9;10750000;95897
РИЭЛТКОНСАЛТ;Центральный;улица Шукшина 8;92;5;8;10671816;115998
Самолет Плюс Омск-Центр;Центральный;улица Шукшина 2;122;1;6;10980000;90000
ID 70292068;Ленинский;улица Стальского 12/1;91;3;5;10900000;118866
ID 70291799;Центральный;улица Шукшина 2;122;1;6;10980000;90000
ID 105199358;Центральный;Октябрьская улица 107;78;12;14;10900000;139744
ID 93831716;Кировский;улица Степанца 2;87;4;14;11000000;126437
ID 70291799;Центральный;улица Булгакова 3;123;1;8;11070000;90000
ID 44823657;Центральный;улица 24-я Северная 204к1;93;9;10;11160000;120000
ID 70291983;Кировский;улица 3-я Енисейская 28;84;16;17;11199972;133333
ID 87079938;Кировский;проспект Комарова 15к3;86;9;10;11200000;130233
МИАРД ВЛАДИС;Центральный;улица Арнольда Нейбута 7;110;5;10;11500000;104167
ID 70291915;Центральный;улица Маяковского 48/1;84;5;10;11500000;136905
ID 84588303;Кировский;Транссибирская улица 6;92;6;10;11500000;125000
ID 96776478;Центральный;улица Маршала Жукова 107;76;7;14;11450000;149478
«АКАДЕМИЯ ЖИЛЬЯ-55»;Центральный;улица Арнольда Нейбута 7;110;5;10;11500000;104545
СТРОЙ-ИНВЕСТ;Центральный;улица Ленина 6;71;3;4;11500000;161972
Самолет Плюс Омск-Центр;Кировский;проспект Комарова 15к3;85;9;10;11600000;135198
ID 70295406;Центральный;улица Маршала Жукова 107;86;4;9;11800000;136891
ID 70292048;Советский;улица Красный Путь 143к3;92;3;17;11774436;127983
Самолет Плюс Омск-Центр;Кировский;проспект Комарова 9/1;86;6;10;12000000;138728
МИАРД ВЛАДИС;Центральный;улица Красина 4;83;5;9;12000000;143541
Квартсервис;Ленинский;проспект Карла Маркса 72;80;7;12;12060000;150000
ID 70293476;Кировский;улица Комкова 8;110;9;9;12000000;109091
Самолет Плюс Омск-Центр;Кировский;бульвар Архитекторов 10;107;3;16;12200000;113806
Квартсервис;Октябрьский;улица Масленникова 41;83;8;10;12200000;146283
Грин-хауз;Центральный;улица Яковлева 15;150;10;12;12222000;81480
МИАРД ВЛАДИС;Кировский;улица Крупской 10;109;7;14;12200000;111212
АВЕСТА-РИЭЛТ;Кировский;проспект Комарова 17к1;97;5;9;12270000;125589
Ледон;Центральный;проспект Карла Маркса 17;85;4;5;12300000;143692
ID 70291799;Центральный;улица Шукшина 8;102;4;8;12240000;120000
Самолет Плюс Омск-Центр;Центральный;улица Шукшина 8;102;3;8;12444000;122000
Самолет Плюс Омск-Центр;Центральный;Омская улица 109;97;9;10;12440000;127984
ID 79765445;Ленинский;проспект Карла Маркса 40;68;8;10;12296304;180828
Вояж-Недвижимость;Октябрьский;улица Орловского 3;98;3;5;12500000;127162
ID 82087880;Кировский;проспект Комарова 15к4;85;9;10;12500000;145518
ID 70291919;Центральный;улица Маршала Жукова 76;94;5;8;12630000;133510
ID 70293476;Центральный;улица Маршала Жукова 107;76;7;9;12500000;164474
ID 104294835;Центральный;проспект Карла Маркса 17;85;4;5;12500000;146028
ID 96730639;Центральный;улица Фрунзе 49;110;6;10;12600000;114545
Самолет Плюс Омск-Центр;Кировский;улица Конева 8;82;3;17;12699996;154878
ID 70291780;Центральный;улица Маршала Жукова 76;94;5;7;12650000;133721
ID 70291799;Центральный;улица Тютчева 2;106;1;6;12720000;120000
Риэлт-Сервис;Центральный;улица 10 лет Октября 70;104;3;8;12800000;123077
Аркада-Стиль;Центральный;улица Арнольда Нейбута 8;84;4;13;12900000;153571
