Продавец;Район;Адрес;Площадь, м2;Этаж;Всего этажей;Цена, ₽;Цена за квадрат, ₽/м²
ЛИОРА;Центральный;улица 24-я Северная 204к1;89;10;10;9750000;109060
МИАРД ВЛАДИС;Советский;проспект Мира 167/3;55;1;5;3490000;63455
ДОМЕТРИКА;Советский;улица Бархатовой 3;49;1;9;3999000;81446
ДОМЕТРИКА;Ленинский;улица 1-я Станционная 1;69;3;5;4380000;62751
ID 2737630;Ленинский;улица 3-я Станционная 86;58;3;5;3700000;63793
Этажи Омск;Центральный;набережная Иртышская 15;59;3;5;5399000;91508
ДОМСК;Советский;улица Строителей 2;73;3;3;4100000;56164
Аркада-Стиль;Ленинский;улица Артема Избышева 15/1;60;4;5;4500000;75000
Аркада-Стиль;Ленинский;улица Лобкова 22;61;3;3;3300000;54098
ID 70292121;Кировский;Мельничная улица 9;53;5;5;4100000;77358
АССОЛЬ;Кировский;улица Степанца 8А;63;5;9;6400000;101426
ID 70292048;Ленинский;улица Территория ТПК 13;60;5;5;4320000;72000
Этажи Омск;Кировский;улица Крупской 13/1;56;13;19;8191512;146277
«АКАДЕМИЯ ЖИЛЬЯ-55»;Советский;улица Энтузиастов 67Б;42;2;5;3030000;72143
Этажи Омск;Кировский;улица Степанца 10;62;7;9;5750000;92295
Лин-Сервис;Октябрьский;улица 50 лет ВЛКСМ 2В;47;2;5;3800000;80851
ID 80859983;Центральный;улица 27-я Северная 121;44;3;5;3300000;75000
Мой мир;Кировский;бульвар Зеленый 10/1;63;9;9;6000000;94937
Этажи Омск;Ленинский;улица Рождественского 9/2;86;2;9;14500000;168605
Лин-Сервис;Октябрьский;улица Романенко 1;45;2;5;3360000;74667
Жилфонд Омск;Кировский;улица Конева 20/1;70;12;12;6950000;99144
Этажи Омск;Ленинский;Входной мкр 5;54;1;4;4150000;76852
Этажи Омск;Кировский;улица 70 лет Октября 20;62;5;12;7550000;120800
ПроДвижение;Кировский;улица Конева 12;69;4;10;7500000;108696
Этажи Омск;Советский;улица Сибниисхоз 1;88;3;4;8000000;90909
Классика;Кировский;улица Лукашевича 12А;69;10;17;8490000;123043
ИПОТЕКА-ЦЕНТР;Октябрьский;улица Масленникова 203/1;97;6;16;12799000;131407
Самолет Плюс Омск-Центр;Советский;улица 50 лет Профсоюзов 75Б;56;1;2;3500000;61620
Самолет Плюс Омск-Центр;Советский;Нефтезаводская улица 27;44;5;5;3590000;79955
МИАРД ВЛАДИС;Центральный;улица 27-я Северная 3;51;4;5;3800000;74510
Доверие;Советский;улица Бородина 37;48;1;5;3890000;79713
РИЭЛТКОНСАЛТ;Советский;улица 50 лет Профсоюзов 132;49;5;5;3900000;79430
АВЕРС-РИЭЛТ;Центральный;улица 33-я Северная 27;63;1;9;4300000;68254
ПОЛЕЗНЫЕ ЛЮДИ;Ленинский;улица Василия Маргелова 239;59;5;5;3560000;60339
Этажи Омск;Кировский;улица 12 Декабря 112;60;2;9;5800000;96346
СоДействие;Советский;Нефтезаводская улица 32А;53;5;5;3800000;70501
Риэлт Сибирь;Октябрьский;улица Масленникова 41;84;7;11;10000000;119048
ЛИОРА;Советский;улица 50 лет Профсоюзов 95;57;3;5;4400000;75993
АТТАШЕ;Центральный;Съездовская улица 50;64;4;9;5650000;88281
Наталья Тотмянина;Центральный;Спартаковская улица 3;82;1;4;9600000;116646
Этажи Омск;Центральный;улица Багратиона 29В;48;5;5;3350000;69215
АВЕСТА-РИЭЛТ;Советский;улица Энергетиков 3;78;2;2;4050000;51527
АССОЛЬ;Центральный;Съездовская улица 29/2;121;6;10;23500000;194055
АВЕСТА-РИЭЛТ;Советский;Иртышская улица 13;62;2;2;3150000;50319
ПОЛЕЗНЫЕ ЛЮДИ;Кировский;улица Перелета 2;59;3;9;6500000;108514
ЛИОРА;Советский;улица 50 лет Профсоюзов 4;60;7;9;4950000;82500
Этажи Омск;Центральный;улица Маршала Жукова 107;76;7;14;11450000;149478
Нелли Гуложенкова;Центральный;улица Багратиона 21Б;64;1;5;3820000;59409
Этажи Омск;Центральный;улица Маршала Жукова 107;107;2;14;14100000;131163
ЛИОРА;Центральный;улица 26-я Северная 19/1;56;5;5;4390000;78393
РИЭЛТКОНСАЛТ;Кировский;Мельничная улица 89к1;89;1;5;3930000;43715
Этажи Омск;Ленинский;улица Стальского 9;60;1;9;5500000;91667
ЛИОРА;Советский;проспект Мира 98А;48;3;5;3430000;70431
Жилфонд Омск;Кировский;улица Лукашевича 15В;59;1;5;4500000;75758
Твой город возможностей;Центральный;улица Орджоникидзе 162;106;8;9;11400000;107345
МИАРД ВЛАДИС;Октябрьский;улица 27-я Линия 43;53;2;3;3649000;68206
Этажи Омск;Октябрьский;улица Кирова 5;63;1;9;5400000;85714
МЕТА;Кировский;Мельничная улица 70;72;1;10;6999000;96939
ПОЛЕЗНЫЕ ЛЮДИ;Советский;улица Энтузиастов 5;56;3;5;4300000;76786
ДОМЕТРИКА;Кировский;бульвар Архитекторов 1/3;61;1;9;5900000;95469
Твой город возможностей;Кировский;улица Конева 20;74;15;16;7600000;101604
ТандемТ;Советский;улица 50 лет Профсоюзов 95;57;3;5;4400000;75993
НСБ-Недвижимость;Кировский;улица 3-я Енисейская 28;76;2;10;8968000;118000
